time,open,high,low,close,volume
2021-02-22 19:36:00,196.04,196.04,196.04,196.04,321
2021-02-22 19:35:00,196.02,196.02,196.02,196.02,349
2021-02-22 19:17:00,196.0,196.0,196.0,196.0,200
2021-02-22 19:05:00,196.07,196.07,196.07,196.07,300
2021-02-22 19:02:00,196.2,196.2,196.2,196.2,1020
2021-02-22 18:57:00,196.2,196.2,196.2,196.2,555
2021-02-22 18:56:00,196.28,196.28,196.28,196.28,111
2021-02-22 18:53:00,196.34,196.34,196.3,196.3,407
2021-02-22 18:42:00,196.31,196.31,196.31,196.31,175
2021-02-22 18:41:00,196.2,196.2,196.2,196.2,142
2021-02-22 18:18:00,196.34,196.34,196.34,196.34,428
2021-02-22 18:15:00,196.3,196.3,196.3,196.3,204
2021-02-22 18:13:00,196.34,196.34,196.34,196.34,126
2021-02-22 17:47:00,196.11,196.11,196.11,196.11,100
2021-02-22 17:45:00,196.44,196.44,196.44,196.44,766
2021-02-22 17:44:00,196.44,196.44,196.44,196.44,102
2021-02-22 17:38:00,196.11,196.11,196.11,196.11,205
2021-02-22 17:19:00,196.16,196.16,196.16,196.16,252
2021-02-22 17:17:00,196.38,196.38,196.33,196.33,486
2021-02-22 17:13:00,196.48,196.48,196.48,196.48,205
2021-02-22 17:11:00,196.2,196.2,196.2,196.2,416
2021-02-22 16:59:00,196.08,196.08,196.08,196.08,227
2021-02-22 16:58:00,196.4,196.4,196.4,196.4,408
2021-02-22 16:51:00,196.05,196.05,196.03,196.03,802
2021-02-22 16:42:00,196.42,196.49,196.42,196.49,577
2021-02-22 16:39:00,196.05,196.5,196.05,196.5,802
2021-02-22 16:38:00,196.3,196.4,196.3,196.4,693
2021-02-22 16:37:00,196.5,196.5,196.31,196.31,229
2021-02-22 16:35:00,196.5,196.5,196.5,196.5,130
2021-02-22 16:31:00,196.3,196.3,196.3,196.3,246
2021-02-22 16:29:00,196.5,196.5,196.5,196.5,1185
2021-02-22 16:28:00,196.03,196.03,196.03,196.03,101
2021-02-22 16:21:00,196.25,196.25,196.25,196.25,300
2021-02-22 16:18:00,196.32,196.32,196.25,196.25,489
2021-02-22 16:12:00,196.1,196.1,196.1,196.1,520
2021-02-22 16:10:00,196.06,196.1,196.06,196.1,391
